name,sourceUrl,itemId,style,webUrl,shortDescription,description,sellingPrice,basePrice,colorName,colorGroup,size,storeDepartment,productClass,brand,category
Groove High-Rise Tight 25 Stripe Trim,https://images.lululemon.com/is/image/lululemon/LW5IUXS_075753_1?wid=1200&fmt=webp&qlt=90,LULU-01,ku580lgm9e,https://shop.lululemon.com/p/groove-high-rise-tight-25-stripe-trim/ku580lgm9e?fp=1&color=75753,Groove High-Rise Tight 25",Groove High-Rise Tight 25",118,118,True Navy/Burgundy Bay,True Navy/Burgundy Bay,0,LululemonWomen,LululemonWomenLeggings,lululemon,leggings
lululemon Align No Line High-Rise Crop 17,https://images.lululemon.com/is/image/lululemon/LW5JWIS_076950_1?wid=1200&fmt=webp&qlt=90,LULU-02,ir1rjqvshy,https://shop.lululemon.com/p/lululemon-align-no-line-high-rise-crop-17/ir1rjqvshy?fp=1&color=76950,lululemon Align No Line High-Rise Crop 17",lululemon Align No Line High-Rise Crop 17",98,98,Dusty Diamond,Dusty Diamond,0,LululemonWomen,LululemonWomenLeggings,lululemon,leggings
Fast and Free 6-Pocket High-Rise Tight 25 Updated Design,https://images.lululemon.com/is/image/lululemon/LW5ITLS_031382_1?wid=1200&fmt=webp&qlt=90,LULU-03,ln5ho4foxk,https://shop.lululemon.com/p/fast-free-6-pocket-high-rise-tight-25-up-design/ln5ho4foxk?fp=1&color=31382,Fast and Free 6-Pocket High-Rise Tight 25",Fast and Free 6-Pocket High-Rise Tight 25",128,128,True Navy,True Navy,0,LululemonWomen,LululemonWomenLeggings,lululemon,leggings
Fast and Free 6-Pocket High-Rise Crop 23 Updated Design,https://images.lululemon.com/is/image/lululemon/LW5ITKS_076615_1?wid=1200&fmt=webp&qlt=90,LULU-04,ll87k3z6bq,https://shop.lululemon.com/p/fast-and-free-6-pocket-high-rise-crop-23-updated/ll87k3z6bq?fp=1&color=76615,Fast and Free 6-Pocket High-Rise Crop 23",Fast and Free 6-Pocket High-Rise Crop 23",128,128,Remixed Marine,Remixed Marine,0,LululemonWomen,LululemonWomenLeggings,lululemon,leggings
Polartec 200 Series Fleece Half Zip,https://images.lululemon.com/is/image/lululemon/LW3KRYS_043639_1?wid=1200&fmt=webp&qlt=90,LULU-05,ila31cji15,https://shop.lululemon.com/p/polartec-200-series-fleece-half-zip/ila31cji15?fp=1&color=43639,Polartec 200 Series Fleece Half Zip,Polartec 200 Series Fleece Half Zip,138,138,Heathered Graphite Grey,Heathered Graphite Grey,XXS,LululemonWomen,LululemonWomenHoodies,lululemon,hoodie
Smooth Spacer Oversized Full Zip,https://images.lululemon.com/is/image/lululemon/LW3LV7S_072756_1?wid=1200&fmt=webp&qlt=90,LULU-06,jhmapp8l59,https://shop.lululemon.com/p/smooth-spacer-oversized-full-zip/jhmapp8l59?fp=1&color=72756,Smooth Spacer Oversized Full Zip,Smooth Spacer Oversized Full Zip,148,148,Burgundy Bay,Burgundy Bay,XS,LululemonWomen,LululemonWomenHoodies,lululemon,hoodie
Polartec 200 Series Full-Zip Jacket,https://images.lululemon.com/is/image/lululemon/LW3LI8S_036168_1?wid=1200&fmt=webp&qlt=90,LULU-07,imo6emwdam,https://shop.lululemon.com/p/polartec-200-series-full-zip-jacket/imo6emwdam?fp=1&color=36168,Polartec 200 Series Full-Zip Jacket,Polartec 200 Series Full-Zip Jacket,148,148,Heathered Light Ivory,Heathered Light Ivory,XXS,LululemonWomen,LululemonWomenJackets,lululemon,jacket
Smooth Spacer Oversized Crew,https://images.lululemon.com/is/image/lululemon/LW3LV3S_077066_1?wid=1200&fmt=webp&qlt=90,LULU-08,jgrme1ltmv,https://shop.lululemon.com/p/smooth-spacer-oversized-crew/jgrme1ltmv?fp=1&color=77066,Smooth Spacer Oversized Crew,Smooth Spacer Oversized Crew,128,128,Sassy Sage,Sassy Sage,XXS,LululemonWomen,LululemonWomenHoodies,lululemon,hoodie
Define Cropped Jacket Nulu,https://images.lululemon.com/is/image/lululemon/LW3HB5S_077066_1?wid=1200&fmt=webp&qlt=90,LULU-09,prod10930188,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Nulu-Cropped-Define-Jacket/_/prod10930188?fp=1&color=77066,Define Cropped Jacket Nulu,Define Cropped Jacket Nulu,128,128,Sassy Sage,Sassy Sage,0,LululemonWomen,LululemonWomenJackets,lululemon,jacket
Define Jacket Nulu,https://images.lululemon.com/is/image/lululemon/LW3ID8S_082358_1?wid=1200&fmt=webp&qlt=90,LULU-10,prod11020158,https://shop.lululemon.com/p/jackets-and-hoodies-jackets/Define-Jacket-Nulu/_/prod11020158?fp=1&color=82358,Define Jacket Nulu,Define Jacket Nulu,128,128,Mahogany Muse/Gold,Mahogany Muse/Gold,0,LululemonWomen,LululemonWomenJackets,lululemon,jacket
Scuba Evolve Oversized Half-Zip Hoodie,https://images.lululemon.com/is/image/lululemon/LW3LH2S_079641_1?wid=1200&fmt=webp&qlt=90,LULU-11,lp4yqrz3sp,https://shop.lululemon.com/p/scuba-evolve-oversized-half-zip-hoodie/lp4yqrz3sp?fp=1&color=79641,Scuba Evolve Oversized Half-Zip Hoodie,Scuba Evolve Oversized Half-Zip Hoodie,128,128,Toasted Pink/Gold,Toasted Pink/Gold,XXS,LululemonWomen,LululemonWomenHoodies,lululemon,hoodie
Scuba Evolve Classic Full-Zip Hoodie,https://images.lululemon.com/is/image/lululemon/LW3LH6S_079641_1?wid=1200&fmt=webp&qlt=90,LULU-12,lopmi7nqah,https://shop.lululemon.com/p/scuba-evolve-classic-full-zip-hoodie/lopmi7nqah?fp=1&color=79641,Scuba Evolve Classic Full-Zip Hoodie,Scuba Evolve Classic Full-Zip Hoodie,138,138,Toasted Pink/Gold,Toasted Pink/Gold,XXS,LululemonWomen,LululemonWomenHoodies,lululemon,hoodie
Groove Yoga Bra Light Support BC Cup Striped Trim,https://images.lululemon.com/is/image/lululemon/LW2F47S_031382_1?wid=1200&fmt=webp&qlt=90,LULU-13,gqy1gojhkf,https://shop.lululemon.com/p/groove-yoga-bra-light-support-bc-cup-striped-trim/gqy1gojhkf?fp=1&color=31382,"Groove Yoga Bra Light Support, B/C Cup","Groove Yoga Bra Light Support, B/C Cup",58,58,True Navy,True Navy,XXS,LululemonWomen,LululemonWomenBras,lululemon,sports bra
